ID,Work Item Type,Title,State,Story Points,Value Area,Iteration Path,Tags
178,User Story,US-12.06: Group statistics and insights,New,1,Business,Decomai,EPIC-12; Post-MVP
180,User Story,US-13.01: Create admin dashboard,New,2,Business,Decomai,EPIC-13; Post-MVP
181,User Story,US-13.02: User management and moderation,New,2,Business,Decomai,EPIC-13; Post-MVP
182,User Story,US-13.03: Content moderation tools,New,2,Business,Decomai,EPIC-13; Post-MVP
183,User Story,US-13.04: Reporting and analytics,New,2,Business,Decomai,EPIC-13; Post-MVP
184,User Story,US-13.05: System configuration management,New,1,Business,Decomai,EPIC-13; Post-MVP
186,User Story,US-09.08 Upgrade Solution from net8.0 to net10.0,New,,Business,Decomai\Iteration 1,
188,User Story,TD: Per-loan notification overrides with background job framework,New,,Business,Decomai\Iteration 1,EPIC-07; Post-MVP; Technical Debt
189,User Story,TD: Domain events for entity lifecycle and state reconciliation.,New,,Business,Decomai\Iteration 1,Architecture; Post-MVP; Technical Debt
190,User Story,TD: Resource-based authorization,New,,Business,Decomai\Iteration 1,Architecture; Post-MVP; Technical Debt
191,User Story,TD: Standardize user-name projection in service DTOs,New,,Business,Decomai\Iteration 1,EPIC-09; Post-MVP; Technical Debt
192,User Story,TD: Standardize user identifier in application logs.,New,,Business,Decomai\Iteration 1,EPIC-09; Post-MVP; Technical Debt
193,User Story,TD: Enable skipped transactional service tests via SQLite in-memory.,New,,Business,Decomai\Iteration 1,EPIC-09; Post-MVP; Technical Debt
194,User Story,US-06.14: Add status filter and pagination to incoming/outgoing borrow-request endpoints,Closed,2,Business,Decomai\Iteration 1,EPIC-06; MVP
195,User Story,TD: Reorder LoanStatus enum to temporal flow,New,,Business,Decomai\Iteration 1,EPIC-06; Low Priority; Post-MVP; Technical Debt
196,User Story,TD: Evaluate FluentAssertions licensing for commercial use,New,,Business,Decomai\Iteration 1,Architecture; Post-MVP; Technical Debt
197,User Story,TD: Stop swallowing query exceptions in paged-list service methods,New,,Business,Decomai\Iteration 1,Architecture; Post-MVP; Technical Debt
198,User Story,TD: Design state-change history pattern for entities,New,,Business,Decomai\Iteration 1,Architecture; EPIC-09; Post-MVP; Technical Debt
199,User Story,US-13.15: Configurable maximum extension period,New,,Business,Decomai\Iteration 1,EPIC-13; Post-MVP
200,User Story,US-06.15: Lender grants extension proactively,New,,Business,Decomai\Iteration 1,EPIC-06; Post-MVP
